batch_idx,iter,reward,baseline,r_calib,r_sharp,r_llm,kl,pg_loss,total_loss
0,0,0.24236002564430237,0.01211800128221513,0.24933815002441406,0.856593668460846,0.5,0.0,285.29058837890625,285.29058837890625
0,1,0.16386395692825317,0.01970529906451704,0.13614186644554138,0.740926206111908,0.5,0.0,176.296875,176.296875
0,2,0.018764805048704147,0.019658274363726396,-0.008277356624603271,0.7431927919387817,0.5,0.0,2.0912704467773438,2.0912704467773438
0,3,0.013912893831729889,0.01937100533712657,-0.013173782266676426,0.743044376373291,0.5,0.0,-6.754899024963379,-6.754899024963379
0,4,0.045611247420310974,0.02068301744128579,0.01874236762523651,0.7437703609466553,0.5,0.0,37.494781494140625,37.494781494140625
0,5,0.04848489910364151,0.02207311152440358,0.03120327740907669,0.7757279276847839,0.5,0.0,37.351097106933594,37.351097106933594
0,6,0.15457181632518768,0.028698046764442788,0.14349311590194702,0.7964041829109192,0.5,0.0,152.66732788085938,152.66732788085938
0,7,0.07167977094650269,0.030847132973545785,0.07323092222213745,0.8385037779808044,0.5,0.0,53.16835403442383,53.16835403442383
0,8,0.17460641264915466,0.038035096957326237,0.1652442216873169,0.802125871181488,0.5,0.0,169.471923828125,169.471923828125
0,9,-0.05783920735120773,0.033241381741899535,-0.07626973092556,0.7718982696533203,0.5,0.0,-108.58534240722656,-108.58534240722656
0,10,-0.00863649696111679,0.031147487806748714,-0.022705920040607452,0.7864351868629456,0.5,0.0,-45.50048828125,-45.50048828125
0,11,0.22270265221595764,0.04072524602720917,0.19805240631103516,0.7511658668518066,0.5,0.0,219.63958740234375,219.63958740234375
0,12,-0.20036472380161285,0.02867074753576806,-0.19918735325336456,0.8372578620910645,0.5,0.0,-270.74822998046875,-270.74822998046875
0,13,0.03189171105623245,0.02883179571179128,0.009384535253047943,0.7583093643188477,0.5,0.0,0.6681766510009766,0.6681766510009766
0,14,0.18872672319412231,0.03682654208590784,0.18307457864284515,0.8144927620887756,0.5,0.0,188.57579040527344,188.57579040527344
0,15,0.26130709052085876,0.04805056950765539,0.26872411370277405,0.8580567240715027,0.5,0.0,263.15313720703125,263.15313720703125
0,16,0.017525620758533478,0.0465243220701993,-0.025958508253097534,0.6883862018585205,0.5,0.0,-32.96574401855469,-32.96574401855469
0,17,0.12115086615085602,0.05025564927423214,0.10197225213050842,0.7694045901298523,0.5,0.0,85.76646423339844,85.76646423339844
0,18,-0.0016861110925674438,0.047658561255892164,-0.028768140822649002,0.7430598735809326,0.5,0.0,-55.76382827758789,-55.76382827758789
0,19,0.00394975021481514,0.04547312070383831,-0.022454790771007538,0.7453181743621826,0.5,0.0,-48.94615936279297,-48.94615936279297
0,20,0.2525445520877838,0.0558266922730356,0.23041971027851105,0.7595837712287903,0.5,0.0,239.19837951660156,239.19837951660156
0,21,0.17793357372283936,0.06193203634552579,0.16575178503990173,0.7927273511886597,0.5,0.0,141.7916259765625,141.7916259765625
0,22,0.21133416891098022,0.06940214297379851,0.20763348042964935,0.8209976553916931,0.5,0.0,173.95864868164062,173.95864868164062
0,23,0.26388317346572876,0.07912619449839503,0.24211889505386353,0.760785698890686,0.5,0.0,222.5014190673828,222.5014190673828
0,24,0.08647084981203079,0.07949342726407682,0.09061120450496674,0.847134530544281,0.5,0.0,5.405601501464844,5.405601501464844
0,25,0.31707945466041565,0.09137272863389378,0.29433998465538025,0.7575349807739258,0.5,0.0,274.66265869140625,274.66265869140625
0,26,0.16369692981243134,0.09498893869282066,0.13930685818195343,0.752032995223999,0.5,0.0,87.0621566772461,87.0621566772461
0,27,-0.03277173638343811,0.08860090493900771,-0.04608685523271561,0.7889496088027954,0.5,0.0,-143.3502197265625,-143.3502197265625
0,28,0.362105131149292,0.10227611624952195,0.351182222366333,0.7969236969947815,0.5,0.0,315.26055908203125,315.26055908203125
0,29,0.23387834429740906,0.10885622765191631,0.23622047901153564,0.8411404490470886,0.5,0.0,154.141357421875,154.141357421875
1,0,-0.09436710178852081,-0.004718355089426045,-0.13539078831672668,0.6965876817703247,0.5,0.0,-92.77783203125,-92.77783203125
1,1,0.38052886724472046,0.014544006027281297,0.337750643491745,0.6907392144203186,0.5,0.0,434.9523620605469,434.9523620605469
1,2,0.2429421991109848,0.025963915681466485,0.23197095096111298,0.7967625260353088,0.5,0.0,267.16998291015625,267.16998291015625
1,3,0.06852754205465317,0.02809209700012582,0.04233001917600632,0.7460081577301025,0.5,0.0,52.358394622802734,52.358394622802734
1,4,-0.07682432234287262,0.022846276032975895,-0.12448912858963013,0.6744506359100342,0.5,0.0,-112.2528076171875,-112.2528076171875
1,5,0.04160598665475845,0.023784261564065025,-0.013022519648075104,0.6512382626533508,0.5,0.0,25.335494995117188,25.335494995117188
1,6,0.0773153156042099,0.02646081426607227,0.043653883039951324,0.721128523349762,0.5,0.0,62.628265380859375,62.628265380859375
1,7,0.1791377067565918,0.034094658890598255,0.1274137943983078,0.660920262336731,0.5,0.0,172.96377563476562,172.96377563476562
1,8,-0.006611622869968414,0.032059344802569924,-0.057017065584659576,0.6653151512145996,0.5,0.0,-40.164756774902344,-40.164756774902344
1,9,0.2833091616630554,0.04462183564559421,0.25387609004974365,0.7352229356765747,0.5,0.0,287.68597412109375,287.68597412109375
1,10,0.16910281777381897,0.05084588475200545,0.14280304312705994,0.7456673979759216,0.5,0.0,144.3776397705078,144.3776397705078
1,11,0.3307120203971863,0.06483919153426451,0.34565043449401855,0.8831279277801514,0.5,0.0,321.8724060058594,321.8724060058594
1,12,0.23536193370819092,0.07336532864296084,0.20061886310577393,0.7175230979919434,0.5,0.0,194.12295532226562,194.12295532226562
1,13,0.24329471588134766,0.08186179800488019,0.2190164029598236,0.7524056434631348,0.5,0.0,198.94677734375,198.94677734375
1,14,0.0813007727265358,0.08183374674096297,0.044695738703012466,0.7113164663314819,0.5,0.0,4.6694488525390625,4.6694488525390625
1,15,0.27727198600769043,0.09160565870429935,0.24996748566627502,0.742318332195282,0.5,0.0,221.91932678222656,221.91932678222656
1,16,0.1420624554157257,0.09412849853987067,0.09946439415216446,0.6913397312164307,0.5,0.0,60.098426818847656,60.098426818847656
1,17,0.2725176513195038,0.10304795617885233,0.25430533289909363,0.7726255655288696,0.5,0.0,212.97372436523438,212.97372436523438
1,18,-0.037996843457221985,0.09599571619704861,-0.07580892741680145,0.7072930335998535,0.5,0.0,-160.59866333007812,-160.59866333007812
1,19,0.26017433404922485,0.10420464708965743,0.22743965685367584,0.7242177724838257,0.5,0.0,189.64903259277344,189.64903259277344
1,20,0.2278728187084198,0.11038805567059555,0.19483783841133118,0.7232167720794678,0.5,0.0,145.868896484375,145.868896484375
1,21,-0.08944104611873627,0.10039660058112894,-0.12681958079338074,0.7087381482124329,0.5,0.0,-218.7929229736328,-218.7929229736328
1,22,0.14258544147014618,0.1025060426255798,0.10007798671722412,0.6916416883468628,0.5,0.0,50.43297576904297,50.43297576904297
1,23,-0.18305674195289612,0.08822790339665598,-0.24222572147846222,0.6361033916473389,0.5,0.0,-319.98101806640625,-319.98101806640625
1,24,0.08497148007154465,0.08806508223040042,0.05365672707557678,0.7289507985115051,0.5,0.0,-1.6237106323242188,-1.6237106323242188
1,25,0.2465064376592636,0.09598715000184359,0.22708866000175476,0.7686073780059814,0.5,0.0,184.56436157226562,184.56436157226562
1,26,0.12347625195980072,0.09736160509974146,0.07953329384326935,0.6868568062782288,0.5,0.0,32.86675262451172,32.86675262451172
1,27,-0.05993836745619774,0.08949660647194448,-0.09924352914094925,0.7023160457611084,0.5,0.0,-169.09197998046875,-169.09197998046875
1,28,-0.13255248963832855,0.07839415166643081,-0.17308497428894043,0.6982249617576599,0.5,0.0,-248.66905212402344,-248.66905212402344
1,29,0.08994748443365097,0.07897181830479183,0.05630660802125931,0.7211970090866089,0.5,0.0,12.570148468017578,12.570148468017578
2,0,0.19536453485488892,0.009768226742744454,0.22461706399917603,0.9308417439460754,0.5,0.0,239.93228149414062,239.93228149414062
2,1,0.24574951827526093,0.02156729131937029,0.2572741210460663,0.8717485666275024,0.5,0.0,274.3104553222656,274.3104553222656
2,2,0.22312608361244202,0.03164523093402388,0.2152668833732605,0.8071359992027283,0.5,0.0,236.42437744140625,236.42437744140625
