Dataset,Condition,n_held_out_pts,n_held_out_anomalies,Precision,Recall,F1,ROC-AUC,AUPR
NYC-Taxi,Static (no FT),1340,117,0.08227848101265822,0.1111111111111111,0.09454545454545454,0.5322207546246794,0.09224529292324248
NAB-machine_temperature_system_failure,Static (no FT),3238,11,0.0,0.0,0.0,0.7084542355692028,0.005854443692699488
SMD-machine-1-1,Static (no FT),8290,569,0.13551401869158877,0.2038664323374341,0.16280701754385965,0.6431411012669667,0.10099101983201916
