n_held_out_pts,n_held_out_anomalies,Precision,Recall,F1,ROC-AUC,AUPR,Dataset,Condition,batch_idx
3238,11,0.0,0.0,0.0,0.6876074034425445,0.005465322801048008,NAB-machine_temperature_system_failure,Naive continual,25
3238,11,0.0,0.0,0.0,0.7078908076738879,0.005843856162441864,NAB-machine_temperature_system_failure,Continual + Gemini,0
3238,11,0.0,0.0,0.0,0.7077217793052935,0.005841182498571912,NAB-machine_temperature_system_failure,Continual + Gemini,1
3238,11,0.0,0.0,0.0,0.7052426965659071,0.005791337304008349,NAB-machine_temperature_system_failure,Continual + Gemini,2
3238,11,0.0,0.0,0.0,0.702594585457926,0.005740313628593882,NAB-machine_temperature_system_failure,Continual + Gemini,3
3238,11,0.0,0.0,0.0,0.7026790996422232,0.005741838744414705,NAB-machine_temperature_system_failure,Continual + Gemini,4
3238,11,0.0,0.0,0.0,0.7023692142997999,0.005736382611795782,NAB-machine_temperature_system_failure,Continual + Gemini,5
3238,11,0.0,0.0,0.0,0.7027917852212863,0.005744335580736573,NAB-machine_temperature_system_failure,Continual + Gemini,6
3238,11,0.0,0.0,0.0,0.7022001859312054,0.005733758234646554,NAB-machine_temperature_system_failure,Continual + Gemini,7
3238,11,0.0,0.0,0.0,0.7018339577992507,0.005726730907692221,NAB-machine_temperature_system_failure,Continual + Gemini,8
3238,11,0.0,0.0,0.0,0.7011860157196383,0.005714343219331479,NAB-machine_temperature_system_failure,Continual + Gemini,9
3238,11,0.0,0.0,0.0,0.7003972166661971,0.005698817628716541,NAB-machine_temperature_system_failure,Continual + Gemini,10
3238,11,0.0,0.0,0.0,0.7001155027185395,0.00569274694196191,NAB-machine_temperature_system_failure,Continual + Gemini,11
3238,11,0.0,0.0,0.0,0.7009324731667466,0.005708974173749151,NAB-machine_temperature_system_failure,Continual + Gemini,12
3238,11,0.0,0.0,0.0,0.7002000169028368,0.005694759267772004,NAB-machine_temperature_system_failure,Continual + Gemini,13
3238,11,0.0,0.0,0.0,0.6996365890075218,0.005684338300847917,NAB-machine_temperature_system_failure,Continual + Gemini,14
3238,11,0.0,0.0,0.0,0.6963405358199285,0.0056217341994217705,NAB-machine_temperature_system_failure,Continual + Gemini,15
3238,11,0.0,0.0,0.0,0.692368369157957,0.005549522237945722,NAB-machine_temperature_system_failure,Continual + Gemini,16
3238,11,0.0,0.0,0.0,0.692368369157957,0.005549609565577136,NAB-machine_temperature_system_failure,Continual + Gemini,17
3238,11,0.0,0.0,0.0,0.6918894554469391,0.005541765022671112,NAB-machine_temperature_system_failure,Continual + Gemini,18
3238,11,0.0,0.0,0.0,0.6925092261317858,0.005552048637580228,NAB-machine_temperature_system_failure,Continual + Gemini,19
3238,11,0.0,0.0,0.0,0.6916640842888131,0.0055366080896016925,NAB-machine_temperature_system_failure,Continual + Gemini,20
3238,11,0.0,0.0,0.0,0.6910161422092008,0.005525971613129306,NAB-machine_temperature_system_failure,Continual + Gemini,21
